Calculating reading plan...
book, book chapters, book words, book time, chapter, chapter words, chapter time
Nu, 36, 32896, 110, 21, 931, 4
Nu, 36, 32896, 110, 22, 1201, 5
Nu, 36, 32896, 110, 23, 743, 3
Nu, 36, 32896, 110, 24, 659, 3
Nu, 36, 32896, 110, 25, 445, 2
Nu, 36, 32896, 110, 26, 1446, 5
Nu, 36, 32896, 110, 27, 610, 3
Nu, 36, 32896, 110, 28, 779, 3
Nu, 36, 32896, 110, 29, 954, 4
Nu, 36, 32896, 110, 30, 503, 2
Nu, 36, 32896, 110, 31, 1208, 5
Nu, 36, 32896, 110, 32, 1009, 4
Nu, 36, 32896, 110, 33, 928, 4
Nu, 36, 32896, 110, 34, 630, 3
Nu, 36, 32896, 110, 35, 965, 4
Nu, 36, 32896, 110, 36, 445, 2
De, 34, 28352, 95, 1, 1262, 5
De, 34, 28352, 95, 2, 1021, 4
De, 34, 28352, 95, 3, 815, 3
De, 34, 28352, 95, 4, 1503, 6
De, 34, 28352, 95, 5, 921, 4
De, 34, 28352, 95, 6, 643, 3
De, 34, 28352, 95, 7, 843, 3
De, 34, 28352, 95, 8, 566, 2
De, 34, 28352, 95, 9, 963, 4
De, 34, 28352, 95, 10, 604, 3
De, 34, 28352, 95, 11, 950, 4
De, 34, 28352, 95, 12, 1055, 4
De, 34, 28352, 95, 13, 627, 3
De, 34, 28352, 95, 14, 708, 3
De, 34, 28352, 95, 15, 707, 3
De, 34, 28352, 95, 16, 710, 3
De, 34, 28352, 95, 17, 707, 3
De, 34, 28352, 95, 18, 611, 3
De, 34, 28352, 95, 19, 608, 3
De, 34, 28352, 95, 20, 646, 3
De, 34, 28352, 95, 21, 731, 3
De, 34, 28352, 95, 22, 894, 3
De, 34, 28352, 95, 23, 685, 3
De, 34, 28352, 95, 24, 681, 3
De, 34, 28352, 95, 25, 562, 2
De, 34, 28352, 95, 26, 667, 3
De, 34, 28352, 95, 27, 599, 2
De, 34, 28352, 95, 28, 2075, 7
De, 34, 28352, 95, 29, 851, 3
De, 34, 28352, 95, 30, 665, 3
De, 34, 28352, 95, 31, 1041, 4
De, 34, 28352, 95, 32, 1306, 5
De, 34, 28352, 95, 33, 805, 3
De, 34, 28352, 95, 34, 320, 2
