"Ge",1,797,3
"Ge",2,632,3
"Ge",3,695,3
"Ge",4,632,3
"Ge",5,504,2
"Ge",6,579,2
"Ge",7,584,2
"Ge",8,586,2
"Ge",9,658,3
"Ge",10,495,2
"Ge",11,606,3
"Ge",12,536,2
"Ge",13,457,2
"Ge",14,606,3
"Ge",15,471,2
"Ge",16,412,2
"Ge",17,679,3
"Ge",18,867,3
"Ge",19,1108,4
"Ge",20,498,2
"Ge",21,774,3
"Ge",22,629,3
"Ge",23,539,2
"Ge",24,1816,7
"Ge",25,706,3
"Ge",26,889,3
"Ge",27,1262,5
"Ge",28,621,3
"Ge",29,830,3
"Ge",30,1022,4
"Ge",31,1417,5
"Ge",32,794,3
"Ge",33,508,2
"Ge",34,790,3
"Ge",35,664,3
"Ge",36,845,3
"Ge",37,942,4
"Ge",38,819,3
"Ge",39,666,3
"Ge",40,580,2
"Ge",41,1404,5
"Ge",42,977,4
"Ge",43,938,4
"Ge",44,874,3
"Ge",45,731,3
"Ge",46,766,3
"Ge",47,965,4
"Ge",48,639,3
"Ge",49,766,3
"Ge",50,687,3
"Ex",1,457,2
"Ex",2,657,3
"Ex",3,791,3
"Ex",4,891,3
"Ex",5,594,2
"Ex",6,753,3
"Ex",7,692,3
"Ex",8,936,4
"Ex",9,982,4
"Ex",10,899,3
"Ex",11,324,2
"Ex",12,1493,5
"Ex",13,675,3
"Ex",14,931,4
"Ex",15,713,3
"Ex",16,1062,4
"Ex",17,465,2
"Ex",18,760,3
"Ex",19,702,3
"Ex",20,561,2
"Ex",21,893,3
"Ex",22,790,3
"Ex",23,828,3
"Ex",24,492,2
"Ex",25,926,4
"Ex",26,937,4
"Ex",27,558,2
"Ex",28,1235,5
"Ex",29,1341,5
"Ex",30,970,4
"Ex",31,438,2
"Ex",32,1093,4
"Ex",33,710,3
"Ex",34,1004,4
"Ex",35,820,3
"Ex",36,892,3
"Ex",37,738,3
"Ex",38,832,3
"Ex",39,1030,4
"Ex",40,821,3
"Le",1,525,2
"Le",2,486,2
"Le",3,511,2
"Le",4,1157,4
"Le",5,723,3
"Le",6,892,3
"Le",7,1056,4
"Le",8,988,4
